Date,1d,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,18m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y,40y,50y
26/11/2010,0.516135,,,,0.505,,0.5075,,,0.52,,,0.545,,,0.585,0.700001,0.855003,1.22501,1.58002,1.90753,2.2075,2.47504,2.7,2.88106,3.05755,3.31259,3.55758,3.71757,3.76854,3.77256,3.75041,3.74325
29/11/2010,0.530528,,,,0.5075,,0.51,,,0.5175,,,0.535,,,0.56,0.655001,0.800002,1.15504,1.51757,1.85005,2.16,2.43254,2.6675,2.86043,3.03507,3.29256,3.54509,3.71257,3.75469,3.78506,3.73687,3.72894
30/11/2010,0.532978,,,,0.5075,,0.5075,,,0.515,,,0.53,,,0.555,0.63,0.76001,1.09503,1.44756,1.78004,2.08,2.34752,2.5825,2.77658,2.94509,3.20507,3.46259,3.64007,3.69926,3.72756,3.69365,3.68606
01/12/2010,0.522382,,,,0.5075,,0.51,,,0.52,,,0.54,,,0.57,0.670006,0.820003,1.17501,1.54502,1.88503,2.1975,2.4676,2.705,2.89806,3.07009,3.32008,3.57009,3.73508,3.78037,3.80256,3.75824,3.75071
02/12/2010,0.5268,,,,0.5125,,0.5125,,,0.5275,,,0.55,,,0.585,0.695001,0.854997,1.235,1.60251,1.94752,2.255,2.52757,2.7575,2.96605,3.12506,3.38009,3.63007,3.79256,3.85078,3.85005,3.82544,3.81517
03/12/2010,0.519333,,,,0.51,,0.51,,,0.525,,,0.55,,,0.58,0.684999,0.835003,1.21001,1.59502,1.94753,2.265,2.53755,2.77,2.98403,3.13506,3.38759,3.63758,3.79508,3.86396,3.84756,3.83504,3.8209
06/12/2010,0.521957,,,,0.51,,0.5125,,,0.5225,,,0.545,,,0.57,0.665001,0.810003,1.18004,1.56503,1.92253,2.24,2.51754,2.755,2.95642,3.12258,3.38008,3.63258,3.79507,3.8499,3.85506,3.82857,3.81131
07/12/2010,0.521199,,,,0.51,,0.5125,,,0.525,,,0.55,,,0.585,0.700001,0.860015,1.25001,1.63251,1.98502,2.3025,2.58003,2.81,3.02625,3.17508,3.43257,3.67756,3.83255,3.90317,3.88254,3.87501,3.86023
08/12/2010,0.515681,,,,0.5125,,0.5175,,,0.535,,,0.57,,,0.615,0.750006,0.940004,1.36001,1.75502,2.11003,2.425,2.6926,2.915,3.11246,3.27009,3.51758,3.75759,3.90008,3.94945,3.92756,3.89964,3.88493
09/12/2010,0.517162,,,,0.515,,0.5175,,,0.535,,,0.57,,,0.615,0.745001,0.919996,1.33,1.72001,2.06752,2.3775,2.64007,2.8575,3.0565,3.20506,3.45008,3.68257,3.81506,3.85837,3.84004,3.80517,3.78801
10/12/2010,0.51487,,,,0.515,,0.5175,,,0.5375,,,0.58,,,0.635,0.779999,0.965004,1.38001,1.77002,2.11253,2.4175,2.67254,2.89,3.07,3.22505,3.46258,3.68757,3.81507,3.845,3.83005,3.77523,3.76028
13/12/2010,0.523625,,,,0.5175,,0.5225,,,0.545,,,0.585,,,0.635,0.775001,0.965004,1.39005,1.79504,2.15004,2.455,2.71254,2.9325,3.115,3.26507,3.50007,3.72507,3.85006,3.8825,3.86755,3.81226,3.79442
14/12/2010,0.521941,,,,0.515,,0.525,,,0.555,,,0.6,,,0.66,0.820002,1.02502,1.47001,1.88001,2.23001,2.5325,2.78502,3,3.1775,3.32506,3.55756,3.78005,3.90504,3.935,3.92503,3.8683,3.85166
15/12/2010,0.525051,,,,0.5175,,0.525,,,0.555,,,0.59,,,0.65,0.810008,1.02,1.46001,1.86502,2.21503,2.52,2.7826,3,3.18,3.32758,3.55508,3.77258,3.89757,3.9225,3.91256,3.84883,3.82809
16/12/2010,0.526765,,,,0.5175,,0.53,,,0.5675,,,0.62,,,0.68,0.855002,1.06499,1.51,1.91251,2.25751,2.5625,2.82007,3.0325,3.21,3.35506,3.57758,3.78756,3.90255,3.92,3.89754,3.82895,3.80575
17/12/2010,0.523519,,,,0.5175,,0.5275,,,0.56,,,0.605,,,0.665,0.824999,1.025,1.46501,1.86002,2.19753,2.4925,2.74754,2.955,3.1325,3.27755,3.50258,3.71257,3.83006,3.85,3.83255,3.7687,3.74256
20/12/2010,0.529795,,,,0.5175,,0.53,,,0.565,,,0.615,,,0.67,0.830002,1.025,1.45505,1.84754,2.17753,2.4625,2.70503,2.905,3.075,3.21757,3.43506,3.64006,3.75755,3.7775,3.75754,3.69406,3.6681
21/12/2010,0.528517,,,,0.5175,,0.5275,,,0.5625,,,0.61,,,0.665,0.815002,1.01502,1.46001,1.85501,2.19001,2.48,2.72502,2.9275,3.1025,3.24506,3.45755,3.66004,3.77004,3.7875,3.76503,3.70156,3.67825
22/12/2010,0.525345,,,,0.5175,,0.5275,,,0.5625,,,0.61,,,0.66,0.805007,1.01002,1.45501,1.85251,2.19001,2.4825,2.72512,2.925,3.0925,3.23761,3.45009,3.6501,3.75508,3.7725,3.74757,3.6839,3.66585
23/12/2010,0.524326,,,,0.5175,,0.5275,,,0.56,,,0.605,,,0.66,0.820002,1.03001,1.48498,1.88498,2.21498,2.5,2.74007,2.9325,3.1,3.23756,3.44759,3.64506,3.75755,3.775,3.75254,3.69443,3.67379
24/12/2010,0.519623,,,,0.5175,,0.525,,,0.5575,,,0.6,,,0.655,0.804999,1.01502,1.46506,1.86514,2.2027,2.495,2.73759,2.94,3.1075,3.24766,3.45765,3.65514,3.76763,3.785,3.7626,3.70715,3.68915
29/12/2010,0.523308,,,,0.515,,0.5225,,,0.55,,,0.585,,,0.635,0.800008,1.02502,1.49501,1.90002,2.24252,2.5325,2.77511,2.975,3.1425,3.28009,3.49258,3.68759,3.79507,3.8125,3.78756,3.73432,3.71621
30/12/2010,0.521082,,,,0.5175,,0.5225,,,0.55,,,0.585,,,0.63,0.780007,1,1.45999,1.87249,2.2025,2.4875,2.72514,2.925,3.0875,3.2201,3.43011,3.6276,3.74258,3.765,3.74507,3.68968,3.67178
31/12/2010,0.519259,,,,0.5175,,0.525,,,0.55,,,0.58,,,0.615,0.750006,0.960003,1.41502,1.81754,2.1451,2.43,2.66268,2.8575,3.0875,3.15016,3.36018,3.55766,3.67764,3.765,3.68511,3.68968,3.67178
