Date,RY_15y,15s-20s
03/22/2024,0.196,11.783
03/21/2024,0.229,11.071
03/20/2024,0.244,9.796
03/19/2024,0.298,8.525
03/18/2024,0.304,8.651
03/15/2024,0.335,8.676
03/14/2024,0.289,9.021
03/13/2024,0.266,9.456
03/12/2024,0.245,8.954
03/11/2024,0.266,8.698
03/08/2024,0.273,8.291
03/07/2024,0.262,8.879
03/06/2024,0.273,8.330
03/05/2024,0.266,8.618
03/04/2024,0.347,8.263
03/01/2024,0.311,8.422
02/29/2024,0.309,8.544
02/28/2024,0.412,8.695
02/27/2024,0.450,8.412
02/26/2024,0.450,8.464
02/23/2024,0.440,9.052
02/22/2024,0.465,8.678
02/21/2024,0.469,9.044
02/20/2024,0.441,9.853
02/19/2024,0.481,9.173
02/16/2024,0.472,9.902
02/15/2024,0.437,10.619
02/14/2024,0.408,10.272
02/13/2024,0.465,9.384
02/12/2024,0.458,9.440
02/09/2024,0.456,9.426
02/08/2024,0.411,10.429
02/07/2024,0.356,11.252
02/06/2024,0.347,11.825
02/05/2024,0.435,11.130
02/02/2024,0.350,12.183
02/01/2024,0.219,13.096
01/31/2024,0.271,13.452
01/30/2024,0.370,12.146
01/29/2024,0.377,12.265
01/26/2024,0.432,12.024
01/25/2024,0.424,11.378
01/24/2024,0.459,10.830
01/23/2024,0.434,10.417
01/22/2024,0.369,10.441
01/19/2024,0.384,11.216
01/18/2024,0.403,11.456
01/17/2024,0.431,10.935
01/16/2024,0.306,13.098
01/15/2024,0.263,12.617
01/12/2024,0.235,12.069
01/11/2024,0.268,11.458
01/10/2024,0.223,11.380
01/09/2024,0.208,11.617
01/08/2024,0.215,11.687
01/05/2024,0.137,11.868
01/04/2024,0.122,12.905
01/03/2024,0.093,12.682
01/02/2024,0.058,11.941
12/29/2023,-0.024,10.502
12/28/2023,-0.093,11.122
12/27/2023,-0.132,10.635
12/22/2023,-0.081,10.629
12/21/2023,-0.047,9.800
12/20/2023,-0.081,9.274
12/19/2023,-0.059,8.576
12/18/2023,0.005,7.958
12/15/2023,0.078,6.945
12/14/2023,0.147,8.697
12/13/2023,0.204,8.254
12/12/2023,0.309,7.005
12/11/2023,0.383,6.202
12/08/2023,0.295,7.113
12/07/2023,0.280,6.924
12/06/2023,0.287,7.237
12/05/2023,0.355,8.572
12/04/2023,0.494,7.500
12/01/2023,0.448,8.781
11/30/2023,0.461,7.427
11/29/2023,0.350,7.508
11/28/2023,0.393,6.528
11/27/2023,0.421,6.405
11/24/2023,0.467,7.816
11/23/2023,0.424,7.213
11/22/2023,0.383,7.465
11/21/2023,0.326,7.232
11/20/2023,0.362,7.000
11/17/2023,0.365,7.710
11/16/2023,0.359,7.254
11/15/2023,0.412,7.368
11/14/2023,0.347,7.441
11/13/2023,0.490,7.617
11/10/2023,0.484,8.539
11/09/2023,0.447,8.835
11/08/2023,0.420,8.390
11/07/2023,0.468,9.125
11/06/2023,0.563,9.105
11/03/2023,0.493,9.954
11/02/2023,0.584,9.985
11/01/2023,0.671,9.634
10/31/2023,0.696,9.244
10/30/2023,0.716,9.778
10/27/2023,0.705,9.844
10/26/2023,0.744,9.477
10/25/2023,0.744,8.577
10/24/2023,0.712,8.501
10/23/2023,0.761,8.050
10/20/2023,0.769,9.344
10/19/2023,0.807,6.725
10/18/2023,0.742,6.985
10/17/2023,0.670,8.062
10/16/2023,0.655,8.737
10/13/2023,0.588,9.033
10/12/2023,0.597,9.183
10/11/2023,0.518,8.862
10/10/2023,0.635,10.599
10/09/2023,0.676,10.517
10/06/2023,0.761,8.725
10/05/2023,0.696,8.236
10/04/2023,0.739,7.224
10/03/2023,0.697,8.217
10/02/2023,0.648,8.139
09/29/2023,0.539,8.889
09/28/2023,0.613,7.258
09/27/2023,0.448,8.003
09/26/2023,0.451,9.311
09/25/2023,0.416,10.090
09/22/2023,0.389,9.046
09/21/2023,0.380,8.907
09/20/2023,0.328,8.192
09/19/2023,0.384,7.132
09/18/2023,0.437,6.177
09/15/2023,0.371,6.154
09/14/2023,0.307,5.799
09/13/2023,0.384,5.609
09/12/2023,0.456,5.066
09/11/2023,0.493,4.936
09/08/2023,0.443,4.477
09/07/2023,0.488,3.367
09/06/2023,0.547,3.079
09/05/2023,0.513,3.832
09/04/2023,0.497,3.567
09/01/2023,0.436,3.412
08/31/2023,0.452,1.466
08/30/2023,0.522,0.557
08/29/2023,0.541,-0.796
08/25/2023,0.532,-1.048
08/24/2023,0.538,0.222
08/23/2023,0.588,0.599
08/22/2023,0.722,-0.464
08/21/2023,0.760,-1.394
08/18/2023,0.729,-1.188
08/17/2023,0.746,-0.629
08/16/2023,0.678,-0.228
08/15/2023,0.650,-0.539
08/14/2023,0.594,-0.623
08/11/2023,0.553,0.888
08/10/2023,0.432,1.330
08/09/2023,0.418,1.447
08/08/2023,0.420,0.425
08/07/2023,0.465,-0.028
08/04/2023,0.425,-0.050
08/03/2023,0.516,-0.225
08/02/2023,0.410,-0.673
08/01/2023,0.403,-1.055
07/31/2023,0.350,0.266
07/28/2023,0.373,-0.128
07/27/2023,0.353,-0.112
07/26/2023,0.308,-0.454
07/25/2023,0.325,0.141
07/24/2023,0.322,-0.684
07/21/2023,0.341,-0.575
07/20/2023,0.365,-0.910
07/19/2023,0.319,-0.369
07/18/2023,0.447,-1.760
07/17/2023,0.526,-2.241
07/14/2023,0.535,-1.808
07/13/2023,0.514,-1.162
07/12/2023,0.535,-2.786
07/11/2023,0.581,-3.942
07/10/2023,0.566,-3.541
07/07/2023,0.587,-3.808
07/06/2023,0.564,-5.571
07/05/2023,0.424,-5.459
07/04/2023,0.386,-4.397
07/03/2023,0.372,-4.186
06/30/2023,0.293,-2.465
06/29/2023,0.272,-1.388
06/28/2023,0.276,-2.385
06/27/2023,0.327,-4.255
06/26/2023,0.265,-3.271
06/23/2023,0.321,-1.616
06/22/2023,0.343,-1.584
06/21/2023,0.311,-0.784
06/20/2023,0.320,-1.789
06/19/2023,0.429,-3.837
06/16/2023,0.351,-3.121
06/15/2023,0.357,-2.844
06/14/2023,0.392,-2.204
06/13/2023,0.444,-2.155
06/12/2023,0.437,-1.238
06/09/2023,0.365,-0.361
06/08/2023,0.372,0.108
06/07/2023,0.357,-1.348
06/06/2023,0.346,-1.114
06/05/2023,0.387,0.106
06/02/2023,0.400,-0.437
06/01/2023,0.432,-0.050
05/31/2023,0.370,1.138
05/30/2023,0.444,1.122
05/26/2023,0.524,0.626
05/25/2023,0.519,0.224
05/24/2023,0.368,1.782
05/23/2023,0.430,1.317
05/22/2023,0.340,1.620
05/19/2023,0.322,1.992
05/18/2023,0.269,2.853
05/17/2023,0.176,3.333
05/16/2023,0.205,1.602
05/15/2023,0.142,2.429
05/12/2023,0.095,2.900
05/11/2023,0.064,2.703
05/10/2023,0.106,2.886
05/09/2023,0.180,2.688
05/08/2023,0.129,3.644
05/05/2023,0.126,3.851
05/04/2023,0.086,2.548
05/03/2023,0.071,2.225
05/02/2023,0.035,1.964
04/28/2023,0.012,2.520
04/27/2023,0.030,3.508
04/26/2023,-0.019,3.662
04/25/2023,-0.053,4.653
04/24/2023,-0.051,4.439
04/21/2023,-0.053,4.676
04/20/2023,-0.025,4.458
04/19/2023,0.046,3.738
04/18/2023,-0.033,4.775
04/17/2023,-0.138,4.821
04/14/2023,-0.176,4.867
04/13/2023,-0.179,4.184
04/12/2023,-0.173,1.769
04/11/2023,-0.194,2.169
04/06/2023,-0.290,4.127
04/05/2023,-0.336,3.860
04/04/2023,-0.397,4.697
04/03/2023,-0.429,4.136
03/31/2023,-0.347,3.226
03/30/2023,-0.366,2.872
03/29/2023,-0.363,3.574
03/28/2023,-0.298,3.484
03/27/2023,-0.299,2.669
03/24/2023,-0.310,4.027
03/23/2023,-0.236,3.677
03/22/2023,-0.167,2.965
03/21/2023,-0.241,4.222
03/20/2023,-0.239,4.374
03/17/2023,-0.322,4.323
03/16/2023,-0.251,4.576
03/15/2023,-0.260,3.638
03/14/2023,-0.170,4.086
03/13/2023,-0.253,4.685
03/10/2023,-0.125,3.403
03/09/2023,-0.004,3.013
03/08/2023,-0.042,2.544
03/07/2023,0.019,2.886
03/06/2023,-0.004,6.374
03/03/2023,0.034,6.533
03/02/2023,0.048,6.426
03/01/2023,0.054,5.496
02/28/2023,-0.033,3.362
02/27/2023,-0.014,2.909
02/24/2023,-0.022,2.145
02/23/2023,-0.023,2.572
02/22/2023,-0.031,1.504
02/21/2023,-0.019,1.390
02/20/2023,-0.144,3.408
02/17/2023,-0.085,2.873
02/16/2023,-0.149,3.085
02/15/2023,-0.194,3.533
02/14/2023,-0.168,2.495
02/13/2023,-0.230,1.616
02/10/2023,-0.231,2.435
02/09/2023,-0.328,3.958
02/08/2023,-0.281,4.080
02/07/2023,-0.300,3.045
02/06/2023,-0.325,2.335
02/03/2023,-0.400,4.413
02/02/2023,-0.474,4.054
02/01/2023,-0.207,-0.516
01/31/2023,-0.225,-0.822
01/30/2023,-0.245,-2.244
01/27/2023,-0.239,-2.250
01/26/2023,-0.211,-1.163
01/25/2023,-0.203,-1.462
01/24/2023,-0.212,-0.367
01/23/2023,-0.146,0.311
01/20/2023,-0.171,0.473
01/19/2023,-0.186,-1.235
01/18/2023,-0.229,0.625
01/17/2023,-0.209,-0.700
01/16/2023,-0.122,-1.731
01/13/2023,-0.186,-0.221
01/12/2023,-0.218,0.922
01/11/2023,-0.175,1.248
01/10/2023,-0.025,0.696
01/09/2023,0.053,2.460
01/06/2023,-0.028,2.757
01/05/2023,-0.007,1.735
01/04/2023,-0.134,3.888
01/03/2023,-0.106,3.500
12/30/2022,-0.073,1.272
12/29/2022,-0.103,1.489
12/28/2022,-0.066,0.994
12/23/2022,-0.109,2.203
12/22/2022,-0.141,1.133
12/21/2022,-0.104,1.158
12/20/2022,-0.090,1.033
12/19/2022,-0.194,0.816
12/16/2022,-0.274,0.749
12/15/2022,-0.251,3.780
12/14/2022,-0.111,3.359
12/13/2022,-0.182,4.613
12/12/2022,-0.216,5.643
12/09/2022,-0.264,6.135
12/08/2022,-0.371,7.538
12/07/2022,-0.391,5.847
12/06/2022,-0.392,5.254
12/05/2022,-0.406,4.898
12/02/2022,-0.345,3.953
12/01/2022,-0.406,3.906
11/30/2022,-0.511,7.701
11/29/2022,-0.550,7.260
11/28/2022,-0.572,5.334
