Date,1d,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,15m,18m,21m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
02/03/2012,0.927053,0.933899,0.944883,0.9546,0.96628,0.985764,0.980195,0.96776,0.969917,0.97482,0.975461,0.974843,0.974423,0.974686,0.975276,0.976128,0.979209,0.988996,1.00865,1.03337,1.28891,1.41486,1.53548,1.68799,1.70094,1.99185,2.12168,2.25121,2.50619,2.76887,2.92357,2.80738
07/03/2012,0.945849,0.952104,0.958683,0.964487,0.972634,0.982774,0.979491,0.972422,0.973229,0.975033,0.975112,0.974806,0.975341,0.977331,0.980085,0.982784,0.990049,1.00175,1.01599,1.18319,1.30062,1.43067,1.41699,1.57317,1.87458,2.0185,2.1497,2.27812,2.37317,2.80006,2.94653,2.82138
08/03/2012,0.94008,0.947467,0.955234,0.962085,0.970997,0.983626,0.979667,0.97198,0.974288,0.979031,0.982481,0.986401,0.990906,0.995123,0.999735,1.00419,1.01919,1.03873,1.06217,1.08891,1.33074,1.48847,1.63836,1.78747,1.93782,1.93518,2.05914,2.31677,2.56341,2.63797,2.75397,2.8427
09/03/2012,0.872618,0.886508,0.908787,0.928483,0.952137,0.991416,0.979622,0.959752,0.965758,0.97606,0.981055,0.986634,0.992279,0.99744,1.00302,1.00817,1.02588,1.04775,1.07194,1.18547,1.2245,1.49145,1.64663,1.65107,1.80557,2.0842,2.20859,2.32518,2.56933,2.82202,2.96088,2.84799
12/03/2012,0.88565,0.903367,0.921984,0.938388,0.957984,0.9903,0.979506,0.962599,0.966668,0.973152,0.977151,0.982084,0.987044,0.992996,0.99847,1.00414,1.0231,1.04595,1.06943,1.18819,1.32402,1.34185,1.473,1.76184,1.90669,2.04019,2.02149,2.2815,2.35489,2.75844,2.8999,2.79474
13/03/2012,0.852908,0.87686,0.902024,0.924195,0.950671,0.993848,0.979517,0.958721,0.966772,0.977412,0.983586,0.989728,0.996558,1.00414,1.01151,1.01877,1.04287,1.0709,1.0957,1.18827,1.34477,1.49899,1.6529,1.65514,1.79252,2.06417,2.18394,2.29841,2.52389,2.56846,2.89389,2.78081
14/03/2012,1.21835,1.17275,1.12486,1.0827,1.02376,0.951833,0.979537,1.01683,1.0024,0.992154,0.998862,1.00707,1.0161,1.02589,1.03613,1.0459,1.07881,1.11348,1.14537,1.17822,1.39939,1.50183,1.65372,1.94375,2.09403,2.223,2.34923,2.4652,2.69016,2.92425,3.06029,2.91175
15/03/2012,0.984652,0.983599,0.982502,0.981547,0.980334,0.978818,0.979901,0.980735,0.982061,0.98729,0.994544,1.00361,1.01372,1.02317,1.03366,1.04387,1.08008,1.11519,1.15186,1.18527,1.40336,1.62919,1.8322,1.98242,1.99444,2.25905,2.24723,2.50365,2.72738,2.95964,3.09261,2.95791
16/03/2012,0.989218,0.987952,0.98593,0.983468,0.982043,0.978732,0.980331,0.983077,0.986389,0.99225,0.999403,1.00779,1.01705,1.02651,1.03778,1.04754,1.08214,1.11871,1.15637,1.17993,1.40601,1.55428,1.85799,1.8685,2.16343,2.29666,2.42222,2.54249,2.76783,2.82306,2.93306,2.7882
19/03/2012,0.987372,0.985869,0.9843,0.982929,0.981315,0.978866,0.980259,0.982148,0.984768,0.990232,0.997806,1.00661,1.01628,1.0277,1.03838,1.04958,1.08858,1.12984,1.17051,1.17676,1.41977,1.67576,1.75948,2.05301,2.20845,2.34254,2.46637,2.58746,2.65945,3.0524,3.19427,3.0823
