Date,1d,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,15m,18m,21m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
26/11/2010,0.133262,,,,0.13833,,0.126555,,,0.134561,,,0.155593,,,0.184242,,0.255575,,0.344442,0.5509,0.790271,1.01757,,1.37931,,,1.72149,1.85952,1.97988,2.00437,1.92116
29/11/2010,0.144029,,,,0.14333,,0.125469,,,0.133699,,,0.153656,,,0.180642,,0.250911,,0.344383,0.552914,0.793195,1.02446,,1.38628,,,1.73138,1.87432,1.99763,2.01224,1.92899
30/11/2010,0.178463,,,,0.14333,,0.096486,,,0.099536,,,0.114622,,,0.138615,,0.205963,,0.293407,0.493602,0.721888,0.943731,,1.30401,,,1.64658,1.78473,1.9033,1.90339,1.81257
01/12/2010,0.165422,,,,0.13667,,0.100813,,,0.105314,,,0.124335,,,0.150416,,0.223467,,0.295567,0.516435,0.763032,0.99932,,1.36775,,,1.71511,1.85824,1.97706,1.97332,1.88425
02/12/2010,0.19137,,,,0.135,,0.093406,,,0.100798,,,0.121011,,,0.149955,,0.229936,,0.310129,0.533039,0.787506,1.02876,,1.40221,,,1.75156,1.89763,2.01647,2.01073,1.92063
03/12/2010,0.157627,,,,0.135,,0.110079,,,0.114563,,,0.1341,,,0.162376,,0.239128,,0.323816,0.542094,0.795213,1.03727,,1.41674,,,1.77395,1.92109,2.04271,2.03973,1.94974
06/12/2010,0.160549,,,,0.135,,0.109762,,,0.112312,,,0.129295,,,0.155089,,0.229907,,0.314003,0.519478,0.760765,0.988056,,1.36551,,,1.71479,1.86194,1.98359,1.98069,1.89081
07/12/2010,0.152385,,,,0.13667,,0.114091,,,0.111787,,,0.12764,,,0.156955,,0.2374,,0.317451,0.522726,0.768901,1.00304,,1.37742,,,1.73264,1.87977,2.00138,1.99743,1.91831
08/12/2010,0.125451,,,,0.13667,,0.124197,,,0.121353,,,0.140084,,,0.172923,,0.260616,,0.345214,0.563001,0.818912,1.05785,,1.43212,,,1.78427,1.93429,2.0558,2.05176,1.96956
09/12/2010,0.13847,,,,0.14167,,0.122621,,,0.121567,,,0.142712,,,0.175894,,0.264553,,0.350996,0.569816,0.825215,1.06386,,1.43591,,,1.77992,1.92984,2.05129,2.04714,1.96486
10/12/2010,0.141167,,,,0.14167,,0.122572,,,0.12696,,,0.154402,,,0.190194,,0.281557,,0.355669,0.568585,0.826519,1.06983,,1.43863,,,1.78339,1.93225,2.05361,2.05038,1.96798
13/12/2010,0.141881,,,,0.14333,,0.123888,,,0.124446,,,0.147665,,,0.183386,,0.275105,,0.376737,0.594183,0.853856,1.10399,,1.48142,,,1.83217,1.98166,2.10264,2.09803,2.01522
14/12/2010,0.15027,,,,0.14167,,0.12229,,,0.129486,,,0.158751,,,0.200107,,0.301436,,0.410609,0.657804,0.940349,1.1955,,1.57988,,,1.94364,2.09511,2.21308,2.20936,2.11662
15/12/2010,0.15129,,,,0.14,,0.121159,,,0.134802,,,0.166802,,,0.208353,,0.310557,,0.424634,0.682037,0.964701,1.2219,,1.61427,,,1.98007,2.13155,2.25051,2.2458,2.15303
16/12/2010,0.14866,,,,0.14,,0.121202,,,0.130557,,,0.158753,,,0.199335,,0.306422,,0.439038,0.73105,1.02557,1.28579,,1.66156,,,2.00961,2.16109,2.28006,2.27531,2.1825
17/12/2010,0.142265,,,,0.14,,0.121383,,,0.120891,,,0.14122,,,0.173515,,0.267342,,0.390375,0.682092,0.971606,1.22929,,1.59708,,,1.92828,2.07237,2.18104,2.16459,2.05716
20/12/2010,0.13951,,,,0.14,,0.122024,,,0.116962,,,0.130844,,,0.157488,,0.239244,,0.364432,0.64676,0.929094,1.17706,,1.5351,,,1.8639,2.0056,2.10943,2.08818,1.98093
21/12/2010,0.140269,,,,0.14,,0.121706,,,0.117771,,,0.129196,,,0.155533,,0.239127,,0.358828,0.635131,0.909339,1.15293,,1.50397,,,1.83401,1.97902,2.0864,2.0661,1.95755
22/12/2010,0.137978,,,,0.14,,0.12247,,,0.115506,,,0.124965,,,0.147423,,0.222513,,0.33158,0.613745,0.876358,1.11071,,1.45038,,,1.76032,1.89966,2.00557,1.98458,1.87303
23/12/2010,0.137537,,,,0.139699,,0.140183,,,0.138332,,,0.147493,,,0.169757,,0.243274,,0.341933,0.625114,0.891415,1.12995,,1.47649,,,1.79771,1.93611,2.03904,2.01508,1.89046
24/12/2010,0.137543,,,,0.139734,,0.140247,,,0.138402,,,0.147725,,,0.170163,,0.243992,,0.341889,0.626594,0.889928,1.12855,,1.47615,,,1.79684,1.93553,2.03849,2.01458,1.89
29/12/2010,0.146054,,,,0.1425,,0.142129,,,0.148992,,,0.163497,,,0.189769,,0.27234,,0.38197,0.669481,0.941089,1.18026,,1.53268,,,1.8552,1.99409,2.10148,2.06983,1.94494
30/12/2010,0.145414,,,,0.142643,,0.141196,,,0.146761,,,0.160019,,,0.184756,,0.265509,,0.381122,0.664758,0.931021,1.17022,,1.52495,,,1.85525,1.99515,2.0914,2.06806,1.9436
31/12/2010,0.145507,,,,0.142732,,0.141315,,,0.146854,,,0.160358,,,0.185251,,0.266361,,0.379713,0.666619,0.930839,1.16945,,1.52482,,,1.85492,1.99507,2.09135,2.06794,1.94367
04/01/2011,0.142662,,,,0.14,,0.139703,,,0.144746,,,0.156397,,,0.181069,,0.264734,,0.375123,0.632885,0.879328,1.10667,,1.45187,,,1.77187,1.91189,2.00799,1.98454,1.86014
05/01/2011,0.141514,,,,0.13667,,0.138815,,,0.15021,,,0.171,,,0.202538,,0.292498,,0.401336,0.657262,0.913667,1.14596,,1.49116,,,1.82401,1.96306,2.05912,2.03563,1.91217
06/01/2011,0.136934,,,,0.13667,,0.137997,,,0.142991,,,0.160461,,,0.191852,,0.284277,,0.395723,0.66348,0.936578,1.1817,,1.53914,,,1.87294,2.01673,2.1227,2.10321,1.97867
07/01/2011,0.141214,,,,0.13833,,0.139949,,,0.146083,,,0.157795,,,0.182927,,0.269027,,0.37629,0.645835,0.921749,1.16699,,1.51942,,,1.84328,1.99003,2.10287,2.09815,1.97851
10/01/2011,0.138899,,,,0.13833,,0.139265,,,0.142639,,,0.153855,,,0.178694,,0.264842,,0.36626,0.630568,0.896895,1.1372,,1.47981,,,1.79874,1.94551,2.0584,2.05373,1.93417
11/01/2011,0.137511,,,,0.13833,,0.138919,,,0.14087,,,0.153058,,,0.180086,,0.266611,,0.377181,0.639804,0.905828,1.14626,,1.49505,,,1.80645,1.95012,2.0602,2.05469,1.93377
