Date,1d,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
02/07/1990,8.026,8.032,8.038,8.307,8.409,8.407,8.529,8.581,8.699,8.783,8.907,8.910,9.003,8.989,8.982,8.973,8.969,8.965,8.965,8.965,8.966,8.965,8.966,8.965,8.965,8.965
03/07/1990,8.026,8.032,8.038,8.314,8.407,8.402,8.521,8.573,8.694,8.750,8.922,8.886,8.950,8.931,8.920,8.910,8.905,8.900,8.900,8.900,8.900,8.899,8.899,8.898,8.898,8.898
05/07/1990,8.035,8.040,8.047,8.331,8.402,8.385,8.499,8.549,8.658,8.734,8.856,8.853,8.942,8.944,8.914,8.906,8.902,8.897,8.897,8.898,8.897,8.897,8.896,8.896,8.896,8.896
06/07/1990,8.044,8.049,8.056,8.340,8.421,8.408,8.523,8.566,8.677,8.742,8.865,8.880,8.987,8.986,8.968,8.958,8.949,8.939,8.936,8.932,8.929,8.927,8.927,8.926,8.925,8.925
09/07/1990,8.083,8.088,8.095,8.366,8.444,8.416,8.531,8.577,8.689,8.803,8.902,8.907,9.000,9.007,8.990,8.982,8.973,8.964,8.961,8.958,8.955,8.954,8.954,8.953,8.953,8.953
10/07/1990,8.139,8.145,8.151,8.431,8.502,8.473,8.584,8.629,8.741,8.846,8.959,8.947,9.027,9.035,9.018,9.010,9.002,8.992,8.990,8.987,8.984,8.983,8.983,8.982,8.982,8.982
11/07/1990,8.196,8.200,8.206,8.496,8.556,8.521,8.622,8.657,8.757,8.866,8.964,8.942,9.013,8.998,8.981,8.972,8.963,8.954,8.951,8.948,8.945,8.944,8.944,8.943,8.943,8.943
12/07/1990,8.211,8.216,8.223,8.514,8.566,8.529,8.633,8.670,8.769,8.867,8.973,8.938,8.997,8.981,8.962,8.954,8.945,8.935,8.933,8.929,8.926,8.925,8.924,8.924,8.923,8.923
13/07/1990,8.192,8.198,8.204,8.494,8.540,8.493,8.590,8.617,8.710,8.813,8.913,8.884,8.948,8.930,8.913,8.905,8.895,8.886,8.883,8.879,8.877,8.875,8.875,8.874,8.873,8.873
16/07/1990,8.178,8.184,8.820,8.465,8.532,8.492,8.581,8.603,8.689,8.749,8.872,8.843,8.908,8.869,8.850,8.850,8.820,8.790,8.783,8.776,8.770,8.767,8.765,8.763,8.762,8.761
17/07/1990,8.160,8.166,8.801,8.453,8.521,8.488,8.574,8.593,8.678,8.746,8.866,8.854,8.935,8.898,8.878,8.878,8.849,8.818,8.812,8.806,8.799,8.796,8.794,8.792,8.791,8.791
18/07/1990,8.152,8.156,8.790,8.451,8.514,8.484,8.570,8.590,8.675,8.748,8.861,8.811,8.856,8.817,8.798,8.798,8.758,8.718,8.705,8.692,8.679,8.674,8.672,8.669,8.667,8.666
19/07/1990,8.129,8.135,8.768,8.429,8.488,8.458,8.549,8.575,8.662,8.674,8.828,8.821,8.910,8.867,8.844,8.844,8.804,8.764,8.743,8.723,8.702,8.697,8.693,8.689,8.687,8.686
20/07/1990,8.100,8.105,8.735,8.398,8.462,8.433,8.523,8.545,8.631,8.676,8.811,8.800,8.882,8.840,8.820,8.821,8.781,8.741,8.720,8.700,8.680,8.675,8.671,8.667,8.665,8.664
23/07/1990,8.084,9.438,8.718,8.367,8.453,8.433,8.523,8.545,8.631,8.687,8.811,8.815,8.909,8.890,8.851,8.851,8.811,8.770,8.750,8.730,8.710,8.705,8.701,8.697,8.695,8.694
24/07/1990,8.085,9.439,8.719,8.375,8.454,8.433,8.521,8.541,8.628,8.678,8.795,8.816,8.929,8.920,8.900,8.900,8.860,8.819,8.800,8.780,8.760,8.755,8.752,8.748,8.746,8.744
25/07/1990,8.088,9.440,8.720,8.383,8.453,8.429,8.519,8.542,8.630,8.688,8.808,8.823,8.931,8.921,8.901,8.900,8.860,8.820,8.800,8.780,8.760,8.755,8.752,8.748,8.746,8.745
26/07/1990,8.088,9.440,8.720,8.383,8.460,8.433,8.522,8.603,8.631,8.687,8.811,8.810,8.902,8.891,8.871,8.877,8.834,8.793,8.773,8.753,8.735,8.726,8.722,8.718,8.716,8.715
27/07/1990,8.086,8.091,8.098,8.383,8.317,8.433,8.451,8.545,8.631,8.654,8.811,8.810,8.902,8.890,8.840,8.846,8.825,8.804,8.781,8.753,8.733,8.729,8.722,8.719,8.718,8.718
30/07/1990,8.084,8.089,8.096,8.367,8.314,8.433,8.452,8.544,8.630,8.624,8.747,8.770,8.879,8.870,8.831,8.830,8.805,8.780,8.760,8.740,8.720,8.716,8.713,8.709,8.707,8.706
31/07/1990,8.111,8.116,8.123,8.402,8.329,8.433,8.450,8.542,8.629,8.633,8.739,8.770,8.886,8.871,8.843,8.844,8.820,8.795,8.772,8.750,8.727,8.722,8.719,8.715,8.714,8.713
01/08/1990,8.151,8.155,8.161,8.450,8.372,8.478,8.490,8.578,8.658,8.672,8.774,8.815,8.941,8.924,8.875,8.876,8.861,8.847,8.827,8.808,8.788,8.783,8.781,8.778,8.777,8.776
02/08/1990,8.224,8.229,8.236,8.527,8.460,8.581,8.581,8.659,8.727,8.798,8.888,8.894,8.986,8.983,8.956,8.958,8.940,8.921,8.912,8.903,8.893,8.891,8.889,8.888,8.887,8.887
03/08/1990,8.299,8.305,8.312,8.606,8.535,8.654,8.649,8.722,8.785,8.849,8.941,8.961,9.068,9.063,9.058,9.060,9.031,9.002,8.993,8.983,8.974,8.971,8.970,8.968,8.967,8.967
06/08/1990,8.313,8.319,8.326,8.605,8.554,8.680,8.693,8.781,8.862,8.875,9.004,9.028,9.143,9.136,9.127,9.128,9.113,9.098,9.098,9.098,9.099,9.097,9.097,9.096,9.096,9.096
07/08/1990,8.298,8.304,8.311,8.597,8.559,8.705,8.720,8.812,8.898,8.922,9.038,9.015,9.086,9.081,9.073,9.074,9.060,9.045,9.046,9.046,9.046,9.045,9.045,9.045,9.045,9.045
08/08/1990,8.283,8.287,8.294,8.587,8.540,8.685,8.700,8.794,8.881,8.938,9.073,9.071,9.162,9.158,9.130,9.132,9.117,9.103,9.104,9.105,9.105,9.104,9.104,9.104,9.103,9.104
09/08/1990,8.289,8.295,8.302,8.595,8.553,8.697,8.712,8.806,8.890,8.984,9.063,9.051,9.128,9.118,9.081,9.085,9.067,9.049,9.050,9.051,9.051,9.050,9.050,9.050,9.050,9.050
10/08/1990,8.254,8.259,8.266,8.558,8.526,8.682,8.700,8.797,8.885,8.937,9.031,9.052,9.164,9.147,9.110,9.113,9.089,9.064,9.061,9.058,9.056,9.054,9.053,9.051,9.051,9.051
13/08/1990,8.246,8.251,8.258,8.535,8.520,8.686,8.704,8.796,8.882,8.983,9.043,9.061,9.163,9.155,9.131,9.134,9.116,9.098,9.095,9.093,9.091,9.089,9.089,9.088,9.088,9.088
14/08/1990,8.229,8.234,8.241,8.524,8.505,8.670,8.691,8.788,8.880,8.979,9.075,9.077,9.172,9.161,9.135,9.138,9.119,9.100,9.098,9.095,9.092,9.091,9.091,9.090,9.089,9.089
15/08/1990,8.224,8.227,8.234,8.525,8.489,8.644,8.663,8.761,8.852,8.938,9.042,9.038,9.124,9.092,9.066,9.068,9.049,9.031,9.029,9.026,9.023,9.021,9.021,9.020,9.020,9.020
16/08/1990,8.222,8.227,8.867,8.525,8.483,8.626,8.646,8.747,8.836,8.907,9.038,9.061,9.178,9.142,9.092,9.094,9.080,9.066,9.063,9.060,9.056,9.055,9.054,9.053,9.053,9.052
17/08/1990,8.219,8.224,8.864,8.522,8.479,8.623,8.647,8.750,8.844,8.970,9.073,9.092,9.203,9.169,9.135,9.138,9.129,9.120,9.115,9.108,9.102,9.101,9.100,9.099,9.099,9.099
20/08/1990,8.213,8.219,8.858,8.501,8.473,8.622,8.651,8.754,8.850,8.947,9.076,9.120,9.252,9.231,9.206,9.208,9.190,9.171,9.171,9.172,9.173,9.172,9.172,9.171,9.171,9.171
21/08/1990,8.214,8.220,8.859,8.509,8.479,8.632,8.668,8.780,8.889,9.012,9.126,9.150,9.265,9.246,9.222,9.225,9.217,9.207,9.206,9.203,9.201,9.200,9.200,9.200,9.200,9.200
22/08/1990,8.217,8.220,8.860,8.518,8.479,8.631,8.672,8.795,8.913,9.011,9.159,9.155,9.248,9.224,9.198,9.200,9.191,9.182,9.176,9.170,9.164,9.162,9.162,9.161,9.160,9.160
23/08/1990,8.222,9.599,8.867,8.525,8.491,8.642,8.689,8.817,8.934,9.031,9.213,9.207,9.300,9.286,9.238,9.240,9.232,9.223,9.217,9.211,9.204,9.203,9.201,9.201,9.200,9.200
24/08/1990,8.222,9.599,8.867,8.525,8.500,8.661,8.705,8.829,8.944,9.024,9.155,9.171,9.283,9.266,9.220,9.222,9.213,9.204,9.198,9.191,9.185,9.183,9.182,9.181,9.181,9.181
28/08/1990,8.222,9.542,8.815,8.492,8.460,8.630,8.744,8.790,8.899,8.925,9.100,9.116,9.245,9.232,9.172,9.171,9.156,9.141,9.139,9.128,9.121,9.118,9.117,9.115,9.115,9.116
29/08/1990,8.171,8.174,8.181,8.194,8.463,8.538,8.672,8.789,8.843,8.975,9.069,9.111,9.256,9.251,9.183,9.184,9.154,9.133,9.131,9.125,9.118,9.113,9.114,9.113,9.112,9.112
30/08/1990,8.184,8.190,8.196,8.211,8.469,8.535,8.672,8.793,8.752,8.951,9.100,9.094,9.257,9.251,9.182,9.183,9.160,9.135,9.129,9.123,9.116,9.114,9.112,9.110,9.109,9.109
