Date,1d,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
02/01/1990,15.094,15.112,15.134,15.188,15.188,15.188,15.125,15.063,15.063,14.508,14.187,13.795,13.407,12.970,12.618,12.387,12.197,12.006,11.956,11.905,11.855,11.830,11.806,11.785,11.775,11.770
03/01/1990,15.026,15.044,15.066,15.125,15.125,15.125,15.125,15.000,15.000,14.515,14.212,13.806,13.400,12.979,12.609,12.420,12.240,12.060,11.989,11.919,11.850,11.823,11.798,11.775,11.764,11.758
04/01/1990,15.029,15.047,15.069,15.125,15.125,15.125,15.125,15.063,15.000,14.515,14.212,13.788,13.358,12.950,12.600,12.400,12.216,12.029,11.970,11.910,11.850,11.824,11.800,11.779,11.768,11.763
05/01/1990,15.038,15.050,15.072,15.125,15.125,15.125,15.123,15.063,15.000,14.458,14.171,13.781,13.376,12.962,12.609,12.428,12.227,12.026,11.969,11.912,11.855,11.829,11.805,11.783,11.773,11.767
08/01/1990,15.094,15.112,15.134,15.188,15.188,15.188,15.125,15.063,15.063,14.505,14.275,13.830,13.395,12.994,12.668,12.526,12.325,12.123,12.045,11.968,11.890,11.861,11.834,11.810,11.798,11.792
09/01/1990,15.032,15.050,15.072,15.125,15.188,15.188,15.125,15.125,15.063,14.565,14.301,13.846,13.397,13.040,12.759,12.658,12.442,12.226,12.159,12.091,12.025,11.998,11.973,11.951,11.940,11.934
10/01/1990,15.087,15.106,15.128,15.188,15.188,15.250,15.188,15.188,15.188,14.617,14.335,13.879,13.434,13.053,12.799,12.686,12.494,12.303,12.231,12.160,12.090,12.063,12.038,12.016,12.006,12.000
11/01/1990,15.029,15.047,15.069,15.125,15.188,15.250,15.250,15.188,15.250,14.684,14.450,13.989,13.531,13.174,12.919,12.766,12.570,12.372,12.285,12.198,12.110,12.080,12.052,12.027,12.015,12.008
12/01/1990,15.100,15.112,15.134,15.188,15.250,15.313,15.313,15.375,15.375,14.728,14.541,14.045,13.547,13.178,12.888,12.782,12.568,12.355,12.267,12.178,12.090,12.059,12.030,12.004,11.991,11.984
15/01/1990,15.094,15.112,15.134,15.188,15.375,15.375,15.375,15.438,15.438,14.820,14.600,14.193,13.801,13.436,13.098,13.024,12.772,12.519,12.441,12.363,12.285,12.254,12.225,12.199,12.187,12.181
16/01/1990,15.217,15.236,15.258,15.313,15.438,15.379,15.500,15.500,15.500,14.852,14.687,14.243,13.818,13.446,13.108,13.032,12.798,12.566,12.467,12.368,12.270,12.237,12.204,12.176,12.163,12.156
17/01/1990,15.087,15.106,15.128,15.188,15.313,15.375,15.375,15.375,15.375,14.958,14.732,14.341,13.950,13.599,13.270,13.150,12.900,12.650,12.566,12.483,12.400,12.368,12.339,12.312,12.300,12.294
18/01/1990,15.090,15.109,15.131,15.188,15.250,15.250,15.250,15.250,15.250,15.040,14.777,14.367,13.929,13.652,13.312,13.218,13.022,12.824,12.693,12.562,12.429,12.393,12.360,12.331,12.317,12.309
19/01/1990,15.100,15.112,15.134,15.188,15.313,15.313,15.313,15.313,15.313,14.927,14.716,14.317,13.898,13.600,13.300,13.150,12.940,12.730,12.604,12.477,12.350,12.312,12.278,12.248,12.233,12.226
22/01/1990,15.094,15.112,15.134,15.188,15.313,15.313,15.313,15.313,15.313,14.886,14.704,14.308,13.917,13.662,13.388,13.288,13.047,12.806,12.673,12.539,12.405,12.366,12.329,12.298,12.282,12.274
23/01/1990,15.032,15.050,15.072,15.125,15.188,15.188,15.250,15.250,15.313,14.873,14.760,14.336,13.917,13.610,13.329,13.258,13.007,12.756,12.629,12.501,12.375,12.337,12.301,12.270,12.255,12.247
24/01/1990,15.026,15.044,15.066,15.125,15.188,15.188,15.250,15.250,15.250,14.918,14.726,14.307,13.883,13.487,13.260,13.222,13.018,12.814,12.669,12.527,12.385,12.347,12.312,12.281,12.266,12.259
25/01/1990,15.029,15.047,15.069,15.125,15.188,15.188,15.250,15.250,15.250,14.866,14.672,14.263,13.847,13.430,13.150,13.080,12.856,12.629,12.520,12.410,12.300,12.266,12.234,12.206,12.192,12.185
26/01/1990,14.976,14.988,15.010,15.063,15.188,15.125,15.185,15.125,15.125,14.817,14.537,14.160,13.754,13.326,13.061,12.984,12.801,12.617,12.488,12.359,12.230,12.195,12.163,12.134,12.120,12.113
29/01/1990,15.035,15.053,15.075,15.125,15.125,15.188,15.125,15.125,15.125,14.723,14.514,14.105,13.699,13.206,12.934,12.904,12.719,12.533,12.407,12.280,12.152,12.118,12.085,12.057,12.043,12.036
01/02/1990,15.041,15.060,15.081,15.125,15.125,15.125,15.125,15.125,15.125,14.690,14.528,14.137,13.744,13.272,12.980,12.908,12.718,12.526,12.422,12.319,12.215,12.183,12.153,12.127,12.114,12.108
02/02/1990,15.047,15.060,15.081,15.125,15.188,15.188,15.188,15.188,15.188,14.743,14.516,14.148,13.766,13.292,13.029,12.928,12.752,12.576,12.469,12.362,12.255,12.223,12.193,12.167,12.154,12.148
05/02/1990,15.103,15.122,15.144,15.188,15.188,15.188,15.188,15.188,15.188,14.765,14.587,14.200,13.817,13.362,13.138,13.058,12.872,12.686,12.576,12.466,12.355,12.323,12.292,12.266,12.253,12.246
06/02/1990,15.041,15.060,15.081,15.125,15.125,15.188,15.188,15.188,15.188,14.766,14.587,14.200,13.817,13.360,13.139,13.058,12.872,12.686,12.576,12.465,12.355,12.323,12.292,12.266,12.253,12.246
07/02/1990,15.103,15.122,15.144,15.188,15.188,15.188,15.188,15.188,15.188,14.768,14.587,14.225,13.867,13.451,13.210,13.158,12.967,12.776,12.648,12.522,12.395,12.360,12.327,12.299,12.285,12.278
08/02/1990,15.103,15.122,15.144,15.188,15.188,15.188,15.188,15.188,15.188,14.819,14.613,14.229,13.837,13.350,13.150,13.050,12.861,12.669,12.557,12.444,12.330,12.297,12.266,12.239,12.226,12.219
