Date,1d,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,15m,18m,21m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y,40y,50y
15/12/2008,1.5326,1.68745,1.70391,,1.67641,1.53874,1.44872,1.38372,1.32544,1.27856,,,1.22846,,,1.25907,,,,1.69178,2.16426,2.52014,2.76818,2.93947,3.06501,3.16232,3.24213,3.31208,,3.54539,3.45135,3.28907,3.15731,3.05439,3.08083
16/12/2008,1.564,1.67532,1.69922,,1.66267,1.52044,1.42026,1.3437,1.27503,1.22884,,,1.1871,,,1.23181,,,,1.69239,2.17188,2.5101,2.74546,2.91289,3.03538,3.12715,3.20237,3.27006,,3.52331,3.43997,3.28184,3.15742,3.07382,3.11003
17/12/2008,1.5962,1.64252,1.64662,,1.55092,1.39154,1.27994,1.19613,1.12733,1.06961,,,0.97744,,,0.99328,,,,1.42255,1.91067,2.27017,2.53059,2.71455,2.84889,2.95165,3.03428,3.10672,,3.37169,3.30542,3.16042,3.04644,2.93896,2.97432
18/12/2008,1.4696,1.63393,1.67848,,1.53346,1.35393,1.23396,1.14281,1.08614,1.03847,,,0.99061,,,1.02318,,,,1.50528,2.00312,2.34975,2.57796,2.7372,2.85302,2.93963,3.01102,3.07858,,3.35543,3.29114,3.14577,3.04733,2.97623,3.01734
19/12/2008,1.5096,1.62217,1.67896,,1.54705,1.38593,1.29089,1.22104,1.17007,1.12837,,,1.10282,,,1.15003,,,,1.6478,2.13888,2.43491,2.624,2.77855,2.90047,2.98707,3.05706,3.12425,,3.4154,3.36329,3.23029,3.13126,3.03609,3.08588
22/12/2008,1.5714,1.64755,1.69702,,1.51484,1.35109,1.24621,1.1663,1.10584,1.06459,,,1.04781,,,1.10139,,,,1.62313,2.12633,2.43921,2.63301,2.77218,2.87506,2.94992,3.0134,3.07873,,3.36865,3.31277,3.17987,3.07301,2.98801,3.04797
23/12/2008,1.6321,1.60469,1.64557,,1.44702,1.28785,1.18458,1.102,1.03082,0.98831,,,0.95759,,,1.00559,,,,1.5376,2.05555,2.37878,2.58336,2.72937,2.83655,2.9158,2.98393,3.05108,,3.34148,3.28554,3.15284,3.04606,2.96798,3.02863
24/12/2008,1.6,1.6001,1.64327,,1.42267,1.27828,1.17643,1.09512,1.02684,0.98345,,,0.95537,,,1.00444,,,,1.53907,2.06179,2.3794,2.58444,2.7303,2.83736,2.91737,2.98445,3.05158,,3.34188,3.28586,3.15277,3.04624,2.86565,2.92518
29/12/2008,1.6462,1.70111,1.553,,1.38743,1.24204,1.15947,1.09392,1.02984,0.98241,,,0.93361,,,0.95904,,,,1.48041,1.99116,2.34541,2.57997,2.72245,2.81692,2.89,2.95598,3.02402,,3.31259,3.25616,3.12294,3.01587,2.91749,2.97271
30/12/2008,1.5563,1.58538,1.47369,,1.36257,1.22732,1.14566,1.08077,1.01551,0.97049,,,0.91249,,,0.93048,,,,1.46093,1.97669,2.30922,2.51936,2.66553,2.7723,2.85378,2.9239,2.99375,,3.28802,3.23766,3.10414,3.00477,2.90375,2.9585
31/12/2008,1.59,1.5902,1.45323,,1.3511,1.22188,1.13894,1.07676,1.01191,0.96721,,,0.9101,,,0.92911,,,,1.46179,1.97663,2.30941,2.52011,2.66616,2.77284,2.85405,2.92417,2.99402,,3.28824,3.23787,3.1043,3.00485,2.85348,2.90804
02/01/2009,1.5563,1.53,1.40024,,1.35843,1.22132,1.11372,1.03375,0.9758,0.93416,,,0.88451,,,0.89683,,,,1.40621,1.91416,2.24147,2.4536,2.60125,2.7101,2.79258,2.86404,2.93514,,3.23876,3.19203,3.06182,2.96755,2.87203,2.92649
05/01/2009,1.6,1.36015,1.27279,,1.22804,1.11013,1.03105,0.98097,0.93243,0.90092,,,0.87679,,,0.91209,,,,1.44868,1.96348,2.30178,2.5235,2.68317,2.80452,2.89935,2.98011,3.05656,,3.35884,3.30452,3.17277,3.07017,2.95659,3.01092
06/01/2009,1.565,1.30585,1.23563,,1.19381,1.0854,1.00556,0.95828,0.92172,0.90483,,,0.90576,,,0.95239,,,,1.47105,1.97995,2.31463,2.53978,2.70844,2.83992,2.9447,3.03303,3.11123,,3.40478,3.34991,3.21783,3.12293,3.02735,3.09214
07/01/2009,1.6,1.21798,1.18167,,1.13708,1.03487,0.96716,0.92037,0.88145,0.86099,,,0.85448,,,0.8928,,,,1.37583,1.87636,2.22784,2.48017,2.66552,2.80799,2.92173,3.01522,3.09682,,3.39255,3.34536,3.21577,3.11809,3.05275,3.11825
08/01/2009,1.1551,1.15082,1.15059,,1.11412,0.97792,0.89216,0.84377,0.81523,0.7994,,,0.79836,,,0.83457,,,,1.28584,1.7661,2.11126,2.36311,2.5517,2.69962,2.81988,2.91946,3.00517,,3.3154,3.27816,3.15353,3.06093,2.96405,3.02653
09/01/2009,1.15,1.16938,1.18238,,1.14941,1.00655,0.9193,0.86274,0.82756,0.80412,,,0.79305,,,0.82563,,,,1.25633,1.73286,2.07843,2.3275,2.51545,2.66511,2.78557,2.88658,2.97316,,3.28086,3.24309,3.11736,3.02404,2.91592,2.98049
