Date,1d,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
01/05/1991,5.9,5.902,5.91,6.135,6.1,6.194,6.235,6.225,6.26,6.415,6.556,6.968,7.29,7.79,8.11,8.26,8.407,8.52,8.588,8.636,8.67,8.686,8.702,8.717,8.725,8.729
02/05/1991,5.901,5.905,5.912,6.138,6.099,6.199,6.235,6.225,6.261,6.417,6.559,6.987,7.314,7.825,8.132,8.272,8.406,8.512,8.577,8.626,8.661,8.676,8.692,8.706,8.714,8.718
03/05/1991,5.915,5.918,5.923,6.126,6.068,6.134,6.192,6.205,6.261,6.42,6.561,6.969,7.287,7.792,8.112,8.232,8.365,8.472,8.535,8.58,8.611,8.626,8.641,8.654,8.662,8.666
07/05/1991,5.896,5.9,5.907,6.129,6.1,6.197,6.257,6.267,6.322,6.476,6.616,7.001,7.31,7.82,8.12,8.3,8.444,8.55,8.616,8.665,8.7,8.716,8.732,8.747,8.755,8.759
08/05/1991,5.9,5.902,5.91,6.135,6.1,6.194,6.256,6.267,6.324,6.477,6.617,7.011,7.32,7.82,8.12,8.31,8.457,8.56,8.621,8.662,8.69,8.705,8.72,8.734,8.742,8.747
09/05/1991,5.9,5.904,5.911,6.135,6.097,6.197,6.256,6.267,6.323,6.476,6.617,7.025,7.33,7.77,8.12,8.31,8.456,8.56,8.621,8.662,8.69,8.705,8.72,8.734,8.742,8.747
10/05/1991,5.899,5.903,5.91,6.135,6.098,6.197,6.253,6.268,6.323,6.476,6.617,7.026,7.32,7.74,8.12,8.3,8.445,8.55,8.611,8.652,8.68,8.695,8.711,8.725,8.732,8.737
13/05/1991,5.893,5.898,5.905,6.123,6.1,6.197,6.256,6.267,6.323,6.472,6.619,7.03,7.33,7.76,8.12,8.38,8.522,8.61,8.672,8.717,8.75,8.766,8.782,8.797,8.805,8.81
14/05/1991,5.896,5.9,5.907,6.129,6.1,6.197,6.257,6.267,6.322,6.474,6.616,7.007,7.3,7.73,8.11,8.34,8.479,8.57,8.629,8.671,8.7,8.715,8.731,8.745,8.753,8.758
15/05/1991,5.9,5.902,5.91,6.135,6.1,6.194,6.256,6.267,6.324,6.474,6.617,7.021,7.32,7.75,8.13,8.39,8.544,8.64,8.701,8.742,8.77,8.786,8.803,8.817,8.826,8.83
16/05/1991,5.9,5.904,6.366,6.135,6.097,6.197,6.256,6.267,6.323,6.476,6.617,7.011,7.31,7.77,8.14,8.38,8.532,8.63,8.688,8.726,8.75,8.765,8.781,8.795,8.803,8.808
17/05/1991,5.899,5.903,6.365,6.135,6.098,6.197,6.275,6.311,6.387,6.507,6.618,7.012,7.31,7.75,8.12,8.22,8.434,8.61,8.684,8.721,8.74,8.757,8.774,8.79,8.798,8.803
20/05/1991,5.893,5.898,6.359,6.123,6.1,6.197,6.278,6.31,6.387,6.506,6.62,7.017,7.32,7.75,8.36,8.5,8.543,8.57,8.614,8.661,8.7,8.713,8.726,8.739,8.745,8.749
21/05/1991,5.896,5.9,6.362,6.129,6.1,6.197,6.279,6.31,6.386,6.507,6.615,7.008,7.32,7.77,8.11,8.36,8.496,8.58,8.638,8.68,8.71,8.725,8.741,8.755,8.763,8.767
22/05/1991,5.9,5.902,6.364,6.135,6.1,6.194,6.256,6.267,6.323,6.477,6.615,6.985,7.27,7.73,8.09,8.31,8.45,8.54,8.596,8.634,8.66,8.675,8.69,8.703,8.711,8.715
23/05/1991,5.899,6.887,6.365,6.135,6.098,6.197,6.253,6.268,6.321,6.476,6.617,6.991,7.26,7.689,8.075,8.284,8.427,8.523,8.583,8.624,8.653,8.668,8.682,8.697,8.705,8.709
24/05/1991,5.901,6.889,6.367,6.142,6.1,6.197,6.255,6.267,6.323,6.477,6.616,6.955,7.223,7.669,8.115,8.404,8.499,8.543,8.6,8.651,8.693,8.708,8.723,8.738,8.746,8.75
28/05/1991,5.901,6.891,6.369,6.15,6.1,6.197,6.256,6.267,6.324,6.478,6.617,6.942,7.203,7.662,8.1,8.38,8.485,8.54,8.598,8.649,8.69,8.705,8.722,8.737,8.745,8.749
29/05/1991,5.906,5.909,5.916,5.938,6.1,6.13,6.205,6.267,6.29,6.454,6.599,6.934,7.193,7.63,8.06,8.23,8.382,8.5,8.568,8.618,8.65,8.665,8.683,8.698,8.707,8.711
30/05/1991,5.902,5.906,5.913,5.938,6.097,6.197,6.205,6.267,6.289,6.43,6.616,6.926,7.19,7.65,8.07,8.24,8.388,8.5,8.568,8.616,8.65,8.666,8.683,8.698,8.706,8.711
31/05/1991,5.899,5.903,5.91,5.936,6.098,6.197,6.205,6.268,6.289,6.43,6.616,6.894,7.14,7.62,8.06,8.21,8.356,8.47,8.538,8.586,8.62,8.636,8.653,8.668,8.676,8.681
