,OECD Lead Ind,BLS Employ Diff,ISM Mfg,ISM Serv,Chicago PMI,Philly Fed,Philly Fed: New Orders,Richmond Fed,UoM,Conf Board,NFIB,NAHB,CPI,Core CPI,PPI,NFIB: Higher Prices,ISM Mfg: Prices,ISM Serv: Prices,Philly Fed: Px Pd
2000-01-31,101.3735,65.4,56.7,56.6,58.9,11.3,21.2,10.0,112.0,144.7,103.4,69.0,2.7,2.0,2.5,10.0,72.4,61.4,44.9
2000-02-29,101.3097,62.0,55.8,56.2,56.9,14.5,37.7,18.0,111.3,140.8,101.0,68.0,3.2,2.2,4.0,10.0,71.6,66.5,56.4
2000-03-31,101.2141,63.0,54.9,57.4,56.1,19.4,17.6,6.0,107.1,137.1,101.7,64.0,3.8,2.4,4.3,16.0,78.7,68.6,38.4
2000-04-30,101.0957,59.4,54.7,58.0,56.2,10.0,7.2,5.0,109.2,137.7,100.4,63.0,3.1,2.3,3.6,15.0,71.2,65.0,32.2
2000-05-31,100.949,46.0,53.2,57.7,53.3,13.9,8.3,17.0,110.7,144.7,100.0,63.0,3.2,2.4,3.7,13.0,65.7,64.2,38.8
2000-06-30,100.783,60.4,51.4,56.9,53.5,2.6,17.6,9.0,106.4,139.2,98.4,58.0,3.7,2.5,4.4,16.0,62.9,65.0,40.8
2000-07-31,100.5984,64.4,52.5,55.3,52.7,4.7,24.7,5.0,108.3,143.0,101.4,59.0,3.7,2.5,4.3,14.0,63.4,62.1,34.2
2000-08-31,100.3805,54.2,49.9,57.6,47.1,17.1,11.8,7.0,107.3,140.8,101.7,60.0,3.4,2.6,3.4,10.0,58.1,59.2,35.8
2000-09-30,100.1265,53.6,49.7,56.7,50.2,5.5,27.6,8.0,106.8,142.5,101.1,60.0,3.5,2.6,3.5,13.0,58.4,62.1,45.2
2000-10-31,99.8194,57.0,48.7,56.7,47.9,1.8,16.4,5.0,105.8,135.8,99.3,62.0,3.4,2.5,3.7,14.0,57.7,63.7,35.7
2000-11-30,99.4694,57.4,48.5,56.2,43.2,7.1,12.4,-7.0,107.6,132.6,99.4,63.0,3.4,2.6,3.8,13.0,58.1,60.9,44.4
2000-12-31,99.0919,56.8,43.9,54.0,45.8,-7.8,4.3,1.0,98.4,128.6,96.7,57.0,3.4,2.6,3.6,12.0,59.8,63.5,28.7
2001-01-31,98.7471,51.0,42.3,51.6,42.0,-36.6,5.6,-11.0,94.7,115.7,96.4,52.0,3.7,2.6,4.8,10.0,64.6,61.8,26.4
2001-02-28,98.4824,46.0,42.1,51.3,41.4,-29.4,15.2,-13.0,90.6,109.2,98.5,58.0,3.5,2.7,4.0,8.0,55.6,58.1,18.6
2001-03-31,98.3112,49.0,43.1,50.7,35.3,-20.5,26.2,-28.0,91.5,116.9,98.4,60.0,2.9,2.7,3.0,9.0,49.9,55.8,24.2
2001-04-30,98.2248,32.2,42.7,48.3,39.5,-10.7,31.2,-15.0,88.4,109.9,98.1,59.0,3.3,2.6,3.7,8.0,48.0,53.8,25.0
2001-05-31,98.1978,40.0,41.3,49.0,37.5,-11.8,36.6,-21.0,92.0,116.1,99.1,58.0,3.6,2.5,3.9,11.0,45.1,58.5,13.5
2001-06-30,98.1743,40.0,43.2,50.1,41.6,-7.0,48.9,-23.0,92.6,118.9,97.6,59.0,3.2,2.7,2.6,8.0,42.8,54.5,17.3
2001-07-31,98.1291,37.6,43.5,48.1,39.3,-12.6,39.6,-1.0,92.4,116.3,98.8,57.0,2.7,2.7,1.4,5.0,39.9,49.9,19.0
2001-08-31,98.0651,40.0,46.3,46.9,43.0,-18.1,43.9,-8.0,91.5,114.0,101.3,59.0,2.7,2.7,2.0,7.0,35.0,48.9,18.6
2001-09-30,98.0237,37.2,46.2,49.5,47.1,-8.2,42.3,-8.0,81.8,97.0,96.2,55.0,2.6,2.6,1.6,4.0,36.6,50.2,9.1
2001-10-31,98.076,36.0,40.8,44.8,44.8,-23.6,49.8,-15.0,82.7,85.3,96.2,46.0,2.1,2.6,-0.3,1.0,33.3,43.4,10.8
2001-11-30,98.2483,36.8,44.1,48.2,42.6,-17.7,42.2,-27.0,83.9,84.9,99.1,48.0,1.9,2.8,-1.2,-3.0,32.0,41.3,13.1
2001-12-31,98.5189,38.2,45.3,49.7,42.8,-11.0,40.7,-13.0,88.8,94.6,100.3,55.0,1.6,2.7,-1.6,-4.0,33.2,42.3,14.7
2002-01-31,98.8321,38.4,47.5,48.9,44.9,10.5,57.1,-1.0,93.0,97.8,100.6,58.0,1.1,2.6,-2.7,-2.0,43.9,48.8,23.5
2002-02-28,99.1289,39.8,50.7,52.7,50.5,11.1,54.6,7.0,90.7,95.0,100.4,58.0,1.1,2.6,-2.6,-2.0,41.5,47.6,17.9
2002-03-31,99.3521,37.4,52.4,52.8,55.9,12.2,53.8,10.0,95.7,110.7,104.2,62.0,1.5,2.4,-1.6,1.0,51.9,49.2,30.7
2002-04-30,99.4451,36.8,52.4,53.5,55.2,12.6,54.0,15.0,93.0,108.5,101.8,61.0,1.6,2.5,-2.1,1.0,60.3,53.7,33.1
2002-05-31,99.3881,42.2,53.1,54.8,57.6,10.1,58.6,4.0,96.9,110.3,101.9,61.0,1.2,2.5,-2.9,0.0,63.0,55.2,33.0
2002-06-30,99.1896,46.4,53.6,52.5,57.1,20.4,45.3,1.0,92.4,106.3,102.6,61.0,1.1,2.3,-2.3,3.0,65.5,53.1,35.2
2002-07-31,98.9031,43.4,50.2,50.4,53.0,5.9,51.0,-3.0,88.1,97.4,99.8,61.0,1.5,2.2,-1.2,1.0,68.3,60.5,33.6
2002-08-31,98.5968,44.6,50.3,50.9,54.4,-1.3,41.8,-2.0,87.6,94.5,101.3,55.0,1.8,2.4,-1.5,2.0,61.5,55.1,33.3
2002-09-30,98.3124,41.8,50.5,52.3,51.5,4.4,40.5,-9.0,86.1,93.7,101.0,63.0,1.5,2.2,-1.8,3.0,62.5,53.4,35.3
2002-10-31,98.0883,44.4,49.0,51.4,45.7,-7.6,45.6,-4.0,80.6,79.6,100.3,61.0,2.0,2.2,0.7,5.0,58.3,56.1,36.1
2002-11-30,97.9402,42.0,48.5,52.9,53.9,7.4,42.0,1.0,84.2,84.9,101.6,62.0,2.2,2.0,1.0,3.0,55.7,57.6,16.7
2002-12-31,97.8408,35.8,51.6,52.3,53.4,7.2,46.1,-6.0,86.7,80.7,98.5,63.0,2.4,1.9,1.2,1.0,56.9,56.5,24.4
2003-01-31,97.7685,47.4,51.3,53.3,54.0,5.5,39.8,2.0,82.4,78.8,99.0,62.0,2.6,1.9,2.5,1.0,57.5,58.0,17.0
2003-02-28,97.7346,37.8,48.8,52.6,53.4,-1.6,33.1,-14.0,79.9,64.8,96.2,63.0,3.0,1.7,3.3,2.0,65.5,60.5,28.4
2003-03-31,97.7716,34.6,46.3,49.1,49.7,-3.9,47.0,-13.0,77.6,61.4,95.3,56.0,3.0,1.7,4.0,-1.0,70.0,59.4,37.2
2003-04-30,97.9072,41.6,46.1,50.1,47.0,-6.6,48.4,-13.0,86.0,81.0,99.6,55.0,2.2,1.5,2.4,-1.0,63.5,55.7,19.4
2003-05-31,98.1349,43.8,49.0,52.8,50.2,-0.6,50.6,-19.0,92.1,83.6,99.7,60.0,2.1,1.6,2.5,1.0,51.5,50.0,29.2
2003-06-30,98.4269,35.6,49.0,54.3,55.0,3.7,58.1,1.0,89.7,83.5,102.2,63.0,2.1,1.5,2.9,-2.0,56.5,52.3,21.2
2003-07-31,98.7688,39.2,51.0,57.3,54.5,7.7,60.2,-11.0,90.9,77.0,100.9,65.0,2.1,1.5,3.0,0.0,53.0,51.4,23.2
2003-08-31,99.1494,41.8,53.2,59.1,60.2,20.3,55.6,-9.0,89.3,81.7,104.5,67.0,2.2,1.3,3.5,5.0,53.0,56.1,20.4
2003-09-30,99.557,50.8,52.4,57.6,53.6,21.0,62.9,-9.0,87.7,77.0,101.9,67.0,2.3,1.2,3.5,4.0,56.0,59.5,26.7
2003-10-31,99.97,52.2,55.2,58.7,54.5,28.1,51.2,2.0,89.6,81.7,104.0,69.0,2.0,1.3,3.4,7.0,58.5,57.2,31.6
2003-11-30,100.3549,50.0,58.4,57.5,61.9,26.9,56.1,2.0,93.7,92.5,105.0,68.0,1.8,1.1,3.4,8.0,64.0,58.5,33.7
2003-12-31,100.6775,50.6,60.1,56.8,61.4,26.5,49.9,13.0,92.6,94.8,106.9,69.0,1.9,1.1,4.0,9.0,66.0,61.1,36.7
2004-01-31,100.9205,55.0,60.8,61.2,64.9,36.1,49.4,5.0,103.8,97.7,105.7,68.0,1.9,1.1,3.3,10.0,75.5,62.2,49.4
2004-02-29,101.0657,52.0,59.9,58.0,64.0,28.0,56.1,13.0,94.4,88.5,102.8,66.0,1.7,1.2,2.1,16.0,81.5,59.5,46.8
2004-03-31,101.1332,64.2,60.6,58.3,57.5,29.6,35.9,27.0,95.8,88.5,103.1,66.0,1.7,1.6,1.5,19.0,86.0,65.0,54.0
2004-04-30,101.1354,62.8,60.6,59.6,63.9,32.2,41.1,12.0,94.2,93.0,105.0,69.0,2.3,1.8,3.7,21.0,88.0,68.6,46.7
2004-05-31,101.0926,67.0,61.4,58.5,65.7,29.1,41.9,16.0,90.2,93.1,104.1,69.0,3.1,1.7,4.9,23.0,86.0,71.0,39.4
2004-06-30,101.0146,61.8,60.5,58.6,60.4,30.6,39.1,10.0,95.6,102.8,103.5,68.0,3.3,1.9,4.0,26.0,81.0,74.2,43.6
2004-07-31,100.9073,51.6,59.9,58.5,63.3,34.7,35.6,2.0,96.7,105.7,106.2,67.0,3.0,1.8,3.8,18.0,77.0,71.9,45.8
2004-08-31,100.7872,53.8,58.5,57.3,59.7,25.1,44.2,9.0,95.9,98.7,102.7,70.0,2.7,1.7,3.3,21.0,81.5,70.9,47.2
2004-09-30,100.6818,57.0,57.4,57.9,62.7,19.7,40.8,5.0,94.2,96.7,104.4,67.0,2.5,2.0,3.3,19.0,76.0,67.0,47.8
2004-10-31,100.61,59.0,56.3,58.8,67.0,26.8,39.0,3.0,91.7,92.9,103.9,69.0,3.2,2.0,4.5,19.0,78.5,72.8,50.0
